chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist
chr1	233799509	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SLC35F3	FALSE	+	FALSE	-105201	IRF2BP2	804758
chr1	234280653	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	6	0.11757789535567313	SLC35F3	TRUE	+	FALSE	-0	IRF2BP2	323614
chr1	237189114	-	hg38	100	testPatient	testPatient	GTSP9991	T-CELLS	M1	4	0.07838526357044875	RYR2	TRUE	+	FALSE	0	RBM34	-2027497
chr1	241957665	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	BECN2	FALSE	+	FALSE	-100	FH	-437879
chr1	244747673	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	DESI2	FALSE	+	FALSE	38638	AKT3	-904088
chr1	246586793	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CNST	TRUE	+	FALSE	0	SMYD3	-79450
chr1	26111255	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PDIK1L	TRUE	+	TRUE	0	CD52	-206663
chr1	34692807	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MIR552	FALSE	-	FALSE	-23112	SFPQ	483569
chr1	34930623	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	DLGAP3	FALSE	-	FALSE	-1037	SFPQ	245753
chr1	42175835	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	FOXJ3	FALSE	-	FALSE	702	HIVEP3	-139909
chr1	59982460	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	C1orf87	FALSE	-	FALSE	7932	JUN	-1198346
chr1	6927684	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CAMTA1	TRUE	+	FALSE	0	CAMTA1	0
chr1	7729147	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CAMTA1	TRUE	+	FALSE	-0	CAMTA1	-0
chr1	82632150	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINC01362	FALSE	+	FALSE	-271031	ADGRL2	638217
chr1	86484870	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CLCA1	TRUE	+	FALSE	-0	CYR61	900902
chr1	87481986	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINC01364	FALSE	-	FALSE	-110330	GBP1	1570316
chr1	88031491	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PKN2-AS1	FALSE	-	FALSE	506020	GBP1	1020811
chr1	91144585	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	HFM1	FALSE	-	FALSE	116179	TGFBR3	535756
chr1	143575648	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RNVU1-17	FALSE	-	FALSE	123806	PIAS3	2272872
chr1	156083649	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LMNA	TRUE	+	FALSE	0	ARHGEF2	-104088
chr1	163007777	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RGS4	FALSE	+	FALSE	-60827	FCGR2B	1329122
chr1	169380256	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	BLZF1	TRUE	+	FALSE	0	SELE	342382
chr1	180342406	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ACBD6	TRUE	-	FALSE	-0	ABL2	-1112721
chr1	183246079	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LAMC2	FALSE	+	FALSE	951	DHX9	358096
chr1	185031822	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RNF2	FALSE	+	FALSE	-13595	RGL1	1103270
chr1	187673402	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINC01037	FALSE	+	FALSE	196179	PLA2G4A	684420
chr1	215715001	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	USH2A	TRUE	-	FALSE	-0	ESRRG	788243
chr1	220274293	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RAB3GAP2	FALSE	-	FALSE	-1791	DUSP10	1427125
chr1	221343181	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	C1orf140	FALSE	-	FALSE	-6884	DUSP10	358237
chr1	226532936	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	STUM	FALSE	+	FALSE	-15862	MIXL1	305880
chr1	34920765	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	DLGAP3	TRUE	-	FALSE	0	SFPQ	255611
chr1	78197721	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MGC27382	FALSE	+	FALSE	-31876	FUBP1	-218515
chr1	82500008	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINC01362	FALSE	+	FALSE	-403173	ADGRL2	506075
chr10	102288906	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	GBF1	TRUE	+	FALSE	0	NFKB2	-105202
chr10	103198672	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	NT5C2	FALSE	-	FALSE	-5365	SUFU	565214
chr10	104044886	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	COL17A1	TRUE	-	FALSE	-0	SUFU	1411428
chr10	112428161	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ACSL5	TRUE	+	TRUE	-0	ACSL5	-0
chr10	120856964	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	WDR11	TRUE	+	FALSE	0	WDR11	0
chr10	133037217	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ADGRA1-AS1	FALSE	-	FALSE	48025	BNIP3	-1055203
chr10	15072185	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ACBD7-DCLRE1CP1,OLAH	TRUE	-,+	FALSE	0	CUBN	1751779
chr10	20508578	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MIR4675	FALSE	+	FALSE	-43390	MLLT10	-1024769
chr10	26972219	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	FAM238C	FALSE	-	FALSE	-30217	ABI1	-111131
chr10	27838218	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ARMC4	TRUE	-	FALSE	-0	ABI1	-977130
chr10	28145207	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MPP7	TRUE	-	FALSE	-0	ABI1	-1284119
chr10	3289618	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LOC105376360	FALSE	+	FALSE	-29075	KLF6	486376
chr10	35941468	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PCAT5	FALSE	+	FALSE	140547	MAP3K8	5479634
chr10	39972862	-	hg38	3	testPatient	testPatient	GTSP9991	T-CELLS	M1	1	0.01959631589261219	ACTR3BP5	FALSE	+	FALSE	1274620	RET	-3104163
chr10	40012244	-	hg38	5	testPatient	testPatient	GTSP9991	T-CELLS	M1	1	0.01959631589261219	ACTR3BP5	FALSE	+	FALSE	1314002	RET	-3064781
chr10	44581951	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	6	0.11757789535567313	CXCL12	FALSE	-	FALSE	-196853	ALOX5	-792213
chr10	45392793	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ALOX5	TRUE	+	FALSE	0	ALOX5	0
chr10	5041194	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	AKR1C3	FALSE	+	FALSE	-7570	AKR1C3	-7570
chr10	55152042	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PCDH15	TRUE	-	FALSE	0	DKK1	2834384
chr10	56991618	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MIR3924	FALSE	-	FALSE	312859	CCDC6	2797127
chr10	70357800	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LRRC20	TRUE	-	FALSE	0	AIFM2	-224865
chr10	71350812	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SLC29A3	TRUE	+	FALSE	-0	PSAP	465469
chr10	72368504	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MICU1	TRUE	-	FALSE	-0	PSAP	-517128
chr10	77461342	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	KCNMA1	TRUE	-	FALSE	0	ZMIZ1	-1607691
chr10	82697013	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	NRG3	TRUE	+	FALSE	-0	NUTM2B	2984255
chr10	91232895	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PCGF5	TRUE	+	FALSE	-0	HHEX	-1457027
chr10	92153351	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CPEB3	TRUE	-	FALSE	-0	HHEX	-536571
chr10	92728539	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	HHEX	FALSE	+	FALSE	32887	HHEX	32887
chr10	94999856	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CYP2C9	FALSE	+	FALSE	10464	LGI1	1201681
chr10	102773381	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	WBP1L	TRUE	+	FALSE	0	SUFU	139923
chr10	11614502	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	USP6NL	FALSE	-	FALSE	-2712	GATA3	3539300
chr10	127275235	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	DOCK1	TRUE	+	FALSE	-0	PTPRE	-631824
chr10	132627406	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	INPP5A	TRUE	+	FALSE	0	BNIP3	-645392
chr10	27499742	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RAB18	FALSE	+	FALSE	-4430	ABI1	-638654
chr10	51297322	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PRKG1	TRUE	+	FALSE	0	SGMS1	-673344
chr10	52095272	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PRKG1	TRUE	+	FALSE	-0	DKK1	-218909
chr10	6161280	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PFKFB3	TRUE	+	FALSE	0	IL2RA	-98909
chr10	66308641	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CTNNA3	TRUE	-	FALSE	-0	SIRT1	-1576026
chr10	6715631	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINP1	FALSE	+	FALSE	-21749	SFMBT2	442991
chr10	764243	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	6	0.11757789535567313	LARP4B	FALSE	-	FALSE	42669	DIP2C	-74574
chr10	85533766	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINC01520	FALSE	+	FALSE	41764	BMPR1A	-1222871
chr10	92448778	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	IDE	FALSE	-	FALSE	2904	HHEX	-241144
chr11	101846287	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ANGPTL5	FALSE	-	FALSE	44385	YAP1	-264172
chr11	102841826	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MMP3	TRUE	-	FALSE	0	BIRC2	463155
chr11	103693229	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MIR4693	FALSE	+	FALSE	-156675	BIRC2	1314558
chr11	111654183	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SIK2	TRUE	+	FALSE	0	CRYAB	254435
chr11	111734781	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PPP2R1B	TRUE	-	FALSE	-0	CRYAB	173837
chr11	118897497	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	BCL9L	TRUE	-	TRUE	-0	DDX6	-106233
chr11	12282756	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MICALCL	FALSE	+	FALSE	-4142	PTH	1209287
chr11	123667108	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SCN3B	FALSE	-	FALSE	-12500	SCN3B	-12500
chr11	13348819	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ARNTL	TRUE	+	FALSE	-0	PTH	143224
chr11	14746452	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PDE3B	TRUE	+	FALSE	0	CALCA	220215
chr11	28749767	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MIR8068	FALSE	-	FALSE	-272218	DNAJC24	-2620061
chr11	30955035	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	DCDC1	TRUE	-	FALSE	-0	DNAJC24	-414793
chr11	69828727	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	FGF3	FALSE	-	FALSE	-9302	FGF3	-9302
chr11	86490732	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ME3	TRUE	-	FALSE	-0	ME3	-0
chr11	95530515	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	FAM76B	FALSE	-	FALSE	238425	MAML2	446076
chr11	100011360	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CNTN5	TRUE	+	FALSE	-0	YAP1	-2099099
chr11	106871869	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	GUCY1A2	TRUE	-	FALSE	0	GUCY1A2	0
chr11	112397207	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LOC283140	FALSE	+	FALSE	34672	SDHD	301405
chr11	113108270	+	hg38	100	testPatient	testPatient	GTSP9991	T-CELLS	M1	4	0.07838526357044875	NCAM1	TRUE	+	FALSE	0	ZBTB16	-951317
chr11	119368557	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	USP2	TRUE	-	FALSE	0	THY1	49382
chr11	121407237	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SORL1	FALSE	+	FALSE	-44964	SORL1	-44964
chr11	12783335	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	TEAD1	TRUE	+	FALSE	0	PTH	708708
chr11	130544775	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ADAMTS15	FALSE	+	FALSE	68129	ADAMTS15	68129
chr11	132218959	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	NTM	TRUE	+	FALSE	-0	OPCML	195704
chr11	133654991	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	OPCML	FALSE	-	FALSE	-122378	OPCML	-122378
chr11	134537159	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LOC283177	FALSE	+	FALSE	31497	OPCML	-1004546
chr11	14430270	+	hg38	75	testPatient	testPatient	GTSP9991	T-CELLS	M1	3	0.058788947677836566	COPB1	FALSE	-	FALSE	27231	RRAS2	-65763
chr11	16765629	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	C11orf58	FALSE	+	FALSE	7274	MYOD1	-953932
chr11	18424583	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LDHC	TRUE	+	FALSE	0	TSG101	55726
chr11	19668235	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	NAV2	TRUE	+	FALSE	0	HTATIP2	-695448
chr11	20395935	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PRMT3	TRUE	+	TRUE	0	HTATIP2	12151
chr11	2980767	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	NAP1L4	TRUE	-	FALSE	0	CARS	20153
chr11	34528939	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ELF5	FALSE	-	FALSE	-15138	ABTB2	-170930
chr11	36415164	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PRR5L	TRUE	+	FALSE	-0	CD44	1182761
chr11	41353677	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LRRC4C	TRUE	-	FALSE	0	ACCS	-2712500
chr11	43182283	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	HNRNPKP3	FALSE	-	FALSE	79219	ACCS	-883894
chr11	44055624	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ACCSL	TRUE	+	FALSE	-0	ACCS	-10553
chr11	45686312	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MIR7154	FALSE	-	FALSE	5390	CREB3L1	-591324
chr11	46002839	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	6	0.11757789535567313	PHF21A	TRUE	-	FALSE	-0	CREB3L1	-274797
chr11	50046601	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	OR4C45	FALSE	+	FALSE	12806	PTPRJ	1875758
chr11	55789503	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	OR5D14	FALSE	+	FALSE	-6051	APLNR	1444072
chr11	61773672	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MYRF	TRUE	+	FALSE	-0	FEN1	-18963
chr11	75259271	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ARRB1	FALSE	-	FALSE	849	NEU3	251572
chr11	85342630	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	DLG2	TRUE	-	FALSE	0	PICALM	614539
chr11	87238984	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	TMEM135	TRUE	+	FALSE	-0	ME3	-566347
chr11	87787374	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LOC105369423	FALSE	-	FALSE	-67962	ME3	-1114737
chr11	90255446	+	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	DISC1FP1	TRUE	+	FALSE	0	ME3	-3582809
chr12	101209178	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SLC5A8	TRUE	-	FALSE	0	SLC5A8	0
chr12	104617679	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CHST11	TRUE	+	FALSE	-0	HSP90B1	669748
chr12	106836302	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RIC8B	TRUE	+	FALSE	-0	CORO1C	1808805
chr12	112309717	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	HECTD4	TRUE	-	FALSE	0	PTPN11	-109179
chr12	113743487	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINC01234	FALSE	-	FALSE	1088	PTPN11	1233568
chr12	118360629	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	TAOK3	TRUE	-	FALSE	0	PEBP1	215040
chr12	118449661	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SUDS3	FALSE	+	FALSE	31625	PEBP1	304072
chr12	120921140	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	XLOC_009911	FALSE	+	FALSE	13065	SPPL3	-16787
chr12	121466345	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	KDM2B	TRUE	-	FALSE	-0	KDM2B	-0
chr12	123022644	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PITPNM2	TRUE	-	FALSE	-0	CDK2AP1	238324
chr12	133063095	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ZNF84	TRUE	+	TRUE	-0	CHFR	-175476
chr12	16214622	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SLC15A5	TRUE	-	FALSE	-0	LMO3	333748
chr12	22618114	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LOC105369691	TRUE	-	FALSE	0	C2CD5	-73567
chr12	26110722	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	BHLHE41	FALSE	-	FALSE	9302	BHLHE41	9302
chr12	26523872	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	ITPR2	TRUE	-	FALSE	-0	SSPN	289094
chr12	29636095	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	TMTC1	TRUE	-	FALSE	-0	PTHLH	-1664111
chr12	32879990	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PKP2	TRUE	-	FALSE	0	PTHLH	-4908006
chr12	34927990	-	hg38	75	testPatient	testPatient	GTSP9991	T-CELLS	M1	3	0.058788947677836566	ALG10	FALSE	+	FALSE	899687	PTHLH	-6956006
chr12	50001875	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RACGAP1	TRUE	-	FALSE	-0	FMNL3	-294460
chr12	5221284	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LINC02443	FALSE	-	FALSE	12710	FGF6	-775669
chr12	61709662	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	FAM19A2	TRUE	-	TRUE	-0	USP15	-550676
chr12	61966117	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	FAM19A2	TRUE	-	FALSE	0	USP15	-294221
chr12	75648119	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	KRR1	FALSE	-	FALSE	-136480	PAWR	3936753
chr12	8567025	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	CLEC4E	FALSE	-	FALSE	-26062	C3AR1	-500553
chr12	86485775	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	MGAT4C	TRUE	-	FALSE	0	KITLG	2007016
